"Sample Name"	"Comment[Cells processed based on CFU]"	"Protocol REF"	"Extract Name"	"Comment[Core Facility Sample Name]"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography]"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dissociation]"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"Comment[Run Number]"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Spectral Data File Name]"	"Comment[Raw files .mzML file format]"	"Protocol REF"	"Data Transformation Name"	"Comment[Processed Data FIle]"	"Comment[Peptide Spectrum Match FIle]"	"Peptide Assignment File"	"Protein Assignment File"	"Comment[Target Protein Group File]"	"Comment[Byonic Output File .mgf]"	"Comment[Byonic Output File .mzid]"
"Bsub_168_cells_GC_Rep4"	"~2.00E8"	"protein extraction"	"GC_BS-A4_PRT"	"NASA_PRT_8"	"proteomics labeling"	"GC_BS-A4_PRT_TMT"	"127C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_GC_Rep5"	"7.23E7"	"protein extraction"	"GC_BS-A5_PRT"	"NASA_PRT_4"	"proteomics labeling"	"GC_BS-A5_PRT_TMT"	"128N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_GC_Rep6"	"6.57E7"	"protein extraction"	"GC_BS-C1_PRT"	"NASA_PRT_5"	"proteomics labeling"	"GC_BS-C1_PRT_TMT"	"128C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_GC_Rep7"	"4.96E7"	"protein extraction"	"GC_BS-C2_PRT"	"NASA_PRT_3"	"proteomics labeling"	"GC_BS-C2_PRT_TMT"	"127C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S1_F*.raw"	"170623_KC_NASA_MS3TMT_S1_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S1_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S1_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S1.mzid"
"Bsub_168_cells_GC_Rep8"	"1.54E8"	"protein extraction"	"GC_BS-C3_PRT"	"NASA_PRT_9"	"proteomics labeling"	"GC_BS-C3_PRT_TMT"	"128N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_GC_Rep9"	"4.7E7"	"protein extraction"	"GC_BS-C4_PRT"	"NASA_PRT_7"	"proteomics labeling"	"GC_BS-C4_PRT_TMT"	"127N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170623_KC_NASA_MS3TMT_S2_F*.raw"	"170623_KC_NASA_MS3TMT_S2_F*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideSpectrumMatch.txt"	"170623_KC_NASA_MS3TMT_S2_TargetPeptideGroup.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProtein.txt"	"170623_KC_NASA_MS3TMT_S2_TargetProteinGroup.txt"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mgf"	"170623_KC_NA....byspec2_20170627_Byonic_S2.mzid"
"Bsub_168_cells_CTRL_ASAP_Rep1"	"3.59E8"	"protein extraction"	"PC_BS-ASAP1_PRT"	"BS_ASAP1"	"proteomics labeling"	"PC_BS-ASAP1_PRT_TMT"	"126"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"BS_Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.raw"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideSpectrumMatch.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideGrout.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProtein.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProteinGroup.txt"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mgf"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mzid"
"Bsub_168_cells_CTRL_ASAP_Rep2"	"5.12E8"	"protein extraction"	"PC_BS-ASAP2_PRT"	"BS_ASAP2"	"proteomics labeling"	"PC_BS-ASAP2_PRT_TMT"	"127N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"BS_Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.raw"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideSpectrumMatch.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideGrout.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProtein.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProteinGroup.txt"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mgf"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mzid"
"Bsub_168_cells_CTRL_ASAP_Rep3"	"3.84E8"	"protein extraction"	"PC_BS-ASAP3_PRT"	"BS_ASAP3"	"proteomics labeling"	"PC_BS-ASAP3_PRT_TMT"	"127C"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"BS_Series 1"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.raw"	"170720_NASA_Bric23_6923_BS_Series_1_Frac*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideSpectrumMatch.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetPeptideGrout.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProtein.txt"	"170720_NASA_Bric23_6923_BS_Series_1_TargetProteinGroup.txt"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mgf"	"170720_NASA_....byspec2_20170731_Byonic_BS_S1.mzid"
"Bsub_168_cells_CTRL_ASAP_Rep4"	"4.38E8"	"protein extraction"	"PC_BS-ASAP4_PRT"	"BS_ASAP4"	"proteomics labeling"	"PC_BS-ASAP4_PRT_TMT"	"126"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"BS_Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_2_Frac*.raw"	"170720_NASA_Bric23_6923_BS_Series_2_Frac*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_2_TargetPeptideSpectrumMatch.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetPeptideGrout.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetProtein.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetProteinGroup.txt"	"170720_NASA_....byspec2_20170731_Byonic_BS_S2.mgf"	"170720_NASA_....byspec2_20170731_Byonic_BS_S2.mzid"
"Bsub_168_cells_CTRL_ASAP_Rep5"	"3.69E8"	"protein extraction"	"PC_BS-ASAP5_PRT"	"BS_ASAP5"	"proteomics labeling"	"PC_BS-ASAP5_PRT_TMT"	"127N"	""	""	"proteomics mass spectrometry"	"LTQ Orbitrap Fusion (Thermo Scientific)"	""	""	"Reverse Phase Liquid Chromatography"	"Electrospray Ionization"	""	""	"positive"	""	""	"CID/HCD"	""	""	""	"Ion Trap & Orbitrap"	""	""	"BS_Series 2"	"MS3 isobaric ten plex analysis"	"*BRIC_23_Bacillus_raw.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_2_Frac*.raw"	"170720_NASA_Bric23_6923_BS_Series_2_Frac*.mzML"	"proteomics data transformation"	"Proteome Discoverer/ Byonic"	"*BRIC_23_Bacillus_processed.tar.gz"	"170720_NASA_Bric23_6923_BS_Series_2_TargetPeptideSpectrumMatch.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetPeptideGrout.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetProtein.txt"	"170720_NASA_Bric23_6923_BS_Series_2_TargetProteinGroup.txt"	"170720_NASA_....byspec2_20170731_Byonic_BS_S2.mgf"	"170720_NASA_....byspec2_20170731_Byonic_BS_S2.mzid"
