"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass Analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File Name]"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_GC_Rep2"	"metabolite extraction"	"GC_BS-A2_Med"	"metabolomics labeling"	"GC_BS-A2_Med_011"	""	""	""	"metabolomics mass spectrometry"	"22"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa22_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep3"	"metabolite extraction"	"GC_BS-A3_Med"	"metabolomics labeling"	"GC_BS-A3_Med_012"	""	""	""	"metabolomics mass spectrometry"	"5"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa05_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep4"	"metabolite extraction"	"GC_BS-A4_Med"	"metabolomics labeling"	"GC_BS-A4_Med_013"	""	""	""	"metabolomics mass spectrometry"	"8"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa08_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep5"	"metabolite extraction"	"GC_BS-A5_Med"	"metabolomics labeling"	"GC_BS-A5_Med_014"	""	""	""	"metabolomics mass spectrometry"	"16"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa16_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep6"	"metabolite extraction"	"GC_BS-C1_Med"	"metabolomics labeling"	"GC_BS-C1_Med_015"	""	""	""	"metabolomics mass spectrometry"	"29"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa29_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep7"	"metabolite extraction"	"GC_BS-C2_Med"	"metabolomics labeling"	"GC_BS-C2_Med_016"	""	""	""	"metabolomics mass spectrometry"	"13"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa13_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep8"	"metabolite extraction"	"GC_BS-C3_Med"	"metabolomics labeling"	"GC_BS-C3_Med_017"	""	""	""	"metabolomics mass spectrometry"	"20"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa20_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep9"	"metabolite extraction"	"GC_BS-C4_Med"	"metabolomics labeling"	"GC_BS-C4_Med_018"	""	""	""	"metabolomics mass spectrometry"	"35"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa35_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep1"	"metabolite extraction"	"PC_BS-ASAP1_Med"	"metabolomics labeling"	"PC_BS-ASAP1_Med_037"	""	""	""	"metabolomics mass spectrometry"	"85"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa48_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep2"	"metabolite extraction"	"PC_BS-ASAP2_Med"	"metabolomics labeling"	"PC_BS-ASAP2_Med_038"	""	""	""	"metabolomics mass spectrometry"	"88"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170906dngsa01_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep3"	"metabolite extraction"	"PC_BS-ASAP3_Med"	"metabolomics labeling"	"PC_BS-ASAP3_Med_039"	""	""	""	"metabolomics mass spectrometry"	"62"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa25_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep4"	"metabolite extraction"	"PC_BS-ASAP4_Med"	"metabolomics labeling"	"PC_BS-ASAP4_Med_040"	""	""	""	"metabolomics mass spectrometry"	"64"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa27_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep1"	"metabolite extraction"	"PC_BS-FRZN8_Med"	"metabolomics labeling"	"PC_BS-FRZN8_Med_041"	""	""	""	"metabolomics mass spectrometry"	"80"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa43_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep2"	"metabolite extraction"	"PC_BS-FRZN9_Med"	"metabolomics labeling"	"PC_BS-FRZN9_Med_042"	""	""	""	"metabolomics mass spectrometry"	"84"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa47_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep3"	"metabolite extraction"	"PC_BS-FRZN10_Med"	"metabolomics labeling"	"PC_BS-FRZN10_Med_043"	""	""	""	"metabolomics mass spectrometry"	"72"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa35_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep4"	"metabolite extraction"	"PC_BS-FRZN11_Med"	"metabolomics labeling"	"PC_BS-FRZN11_Med_044"	""	""	""	"metabolomics mass spectrometry"	"38"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa01_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
