"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Fragmentation type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File name - Positive Ionization]"	"Comment[Raw Data File Name- Negative Ionization]"	"Comment[Raw Spectral Data File- Exchange format (.mzML)]"	"Comment[Raw data file name (mzML)- Positive Ionization]"	"Comment[Raw Data File name (mzML)- Negative Ionization]"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Comment[Peptide Database]"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_GC_Rep2"	"metabolite extraction"	"GC_BS-A2_Med"	"metabolomics labeling"	"GC_BS-A2_Med_011"	""	""	""	"metabolomics mass spectrometry"	"77"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"077_posCSH_GC_BS-A2_Med_011_MX340473.d"	"077_negCSH_GC_BS-A2_Med_011_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"077_posCSH_GC_BS-A2_Med_011_MX340473.mzML"	"077_negCSH_GC_BS-A2_Med_011_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep3"	"metabolite extraction"	"GC_BS-A3_Med"	"metabolomics labeling"	"GC_BS-A3_Med_012"	""	""	""	"metabolomics mass spectrometry"	"21"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"021_posCSH_GC_BS-A3_Med_012_MX340473.d"	"021_negCSH_GC_BS-A3_Med_012_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"021_posCSH_GC_BS-A3_Med_012_MX340473.mzML"	"021_negCSH_GC_BS-A3_Med_012_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep4"	"metabolite extraction"	"GC_BS-A4_Med"	"metabolomics labeling"	"GC_BS-A4_Med_013"	""	""	""	"metabolomics mass spectrometry"	"97"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"097_posCSH_GC_BS-A4_Med_013_MX340473.d"	"097_negCSH_GC_BS-A4_Med_013_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"097_posCSH_GC_BS-A4_Med_013_MX340473.mzML"	"097_negCSH_GC_BS-A4_Med_013_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep5"	"metabolite extraction"	"GC_BS-A5_Med"	"metabolomics labeling"	"GC_BS-A5_Med_014"	""	""	""	"metabolomics mass spectrometry"	"50"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"050_posCSH_GC_BS-A5_Med_014_MX340473_*.d"	"050_negCSH_GC_BS-A5_Med_014_MX340473_*.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"050_posCSH_GC_BS-A5_Med_014_MX340473_*.mzML"	"050_negCSH_GC_BS-A5_Med_014_MX340473_*.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep6"	"metabolite extraction"	"GC_BS-C1_Med"	"metabolomics labeling"	"GC_BS-C1_Med_015"	""	""	""	"metabolomics mass spectrometry"	"92"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"092_posCSH_GC_BS-C1_Med_015_MX340473.d"	"092_negCSH_GC_BS-C1_Med_015_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"092_posCSH_GC_BS-C1_Med_015_MX340473.mzML"	"092_negCSH_GC_BS-C1_Med_015_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep7"	"metabolite extraction"	"GC_BS-C2_Med"	"metabolomics labeling"	"GC_BS-C2_Med_016"	""	""	""	"metabolomics mass spectrometry"	"36"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"036_posCSH_GC_BS-C2_Med_016_MX340473.d"	"036_negCSH_GC_BS-C2_Med_016_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"036_posCSH_GC_BS-C2_Med_016_MX340473.mzML"	"036_negCSH_GC_BS-C2_Med_016_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep8"	"metabolite extraction"	"GC_BS-C3_Med"	"metabolomics labeling"	"GC_BS-C3_Med_017"	""	""	""	"metabolomics mass spectrometry"	"10"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"010_posCSH_GC_BS-C3_Med_017_MX340473.d"	"010_negCSH_GC_BS-C3_Med_017_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"010_posCSH_GC_BS-C3_Med_017_MX340473.mzML"	"010_negCSH_GC_BS-C3_Med_017_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep9"	"metabolite extraction"	"GC_BS-C4_Med"	"metabolomics labeling"	"GC_BS-C4_Med_018"	""	""	""	"metabolomics mass spectrometry"	"12"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"012_posCSH_GC_BS-C4_Med_018_MX340473.d"	"012_negCSH_GC_BS-C4_Med_018_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"012_posCSH_GC_BS-C4_Med_018_MX340473.mzML"	"012_negCSH_GC_BS-C4_Med_018_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep1"	"metabolite extraction"	"PC_BS-ASAP1_Med"	"metabolomics labeling"	"PC_BS-ASAP1_Med_037"	""	""	""	"metabolomics mass spectrometry"	"5"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"005_posCSH_PC_BS-ASAP1_Med_037_MX349158.d"	"005_negCSH_PC_BS-ASAP1_Med_037_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"005_posCSH_PC_BS-ASAP1_Med_037_MX349158.mzML"	"005_negCSH_PC_BS-ASAP1_Med_037_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep2"	"metabolite extraction"	"PC_BS-ASAP2_Med"	"metabolomics labeling"	"PC_BS-ASAP2_Med_038"	""	""	""	"metabolomics mass spectrometry"	"99"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"099_posCSH_PC_BS-ASAP2_Med_038_MX349158.d"	"099_negCSH_PC_BS-ASAP2_Med_038_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"099_posCSH_PC_BS-ASAP2_Med_038_MX349158.mzML"	"099_negCSH_PC_BS-ASAP2_Med_038_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
