"Source Name"	"Protocol REF"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Strain]"	"Parameter Value[Growth time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Growth Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Media Information]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Canister and Position]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Freezing]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Total CFU Count]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Comment[Original Submitted Sample Name]"	"Parameter Value[Sample Storage Method]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Bsu A2G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A2"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.27E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep2"	"GC_BS-A2"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A3G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A3"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.53E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep3"	"GC_BS-A3"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A4G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A4"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	""	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep4"	"GC_BS-A4"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu A5G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"A5"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.83E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep5"	"GC_BS-A5"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C1G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C1"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.47E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep6"	"GC_BS-C1"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C2G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C2"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.59E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep7"	"GC_BS-C2"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C3G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C3"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"4.5E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep8"	"GC_BS-C3"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Bsu C4G"	"sample collection"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"20-30 "	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	"C4"	""	""	"Ground Control"	""	""	"Frozen"	""	""	"sample processing"	"1.28E8"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_GC_Rep9"	"GC_BS-C4"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-ASAP1"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.11E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep1"	"PC_BS-ASAP1"	"NA"	""	""	""
"PC_BS-ASAP2"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.6E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep2"	"PC_BS-ASAP2"	"NA"	""	""	""
"PC_BS-ASAP3"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.17E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep3"	"PC_BS-ASAP3"	"NA"	""	""	""
"PC_BS-ASAP4"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.38E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep4"	"PC_BS-ASAP4"	"NA"	""	""	""
"PC_BS-ASAP5"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.15E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep5"	"PC_BS-ASAP5"	"NA"	""	""	""
"PC_BS-ASAP6"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.26E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep6"	"PC_BS-ASAP6"	"NA"	""	""	""
"PC_BS-ASAP7"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Not frozen"	""	""	"sample processing"	"1.34E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_ASAP_Rep7"	"PC_BS-ASAP7"	"NA"	""	""	""
"PC_BS-FRZN8"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"1.95E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep1"	"PC_BS-FRZN8"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN9"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"2.19E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep2"	"PC_BS-FRZN9"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN10"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"1.46E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep3"	"PC_BS-FRZN10"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN11"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"1.67E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep4"	"PC_BS-FRZN11"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN12"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"2.04E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep5"	"PC_BS-FRZN12"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN13"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"1.61E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep6"	"PC_BS-FRZN13"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"PC_BS-FRZN14"	"Freezing Control Design and Sample Processing"	"Bacillus subtilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1423"	"168"	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"~22.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"8.5mL TSY + 10% Glycerol"	""	""	""	""	""	""	""	""	"Frozen"	""	""	"sample processing"	"1.71E9"	""	""	"Cells"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D002477"	"Bsub_168_cells_CTRL_FRZN_Rep7"	"PC_BS-FRZN14"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
